nodes,flows,pps,pkt_size,speed_ms,wpan_area,sim_time,throughput_mbps,avg_delay_ms,pdr_pct,drop_pct,energy_J
40,10,500,1024,25,200,40,0.0899247,247.212,79.542,15.8015,4.90575
40,20,100,1024,5,200,40,0.109719,280.536,78.6957,17.5776,5.00118
40,20,100,1024,10,200,40,0.0902607,294.941,73.706,22.2222,4.92975
40,20,100,1024,15,200,40,0.0835548,267.641,73.7232,22.2058,4.90018
40,20,100,1024,20,200,40,0.0833628,258.857,74.4355,21.1216,4.90031
40,20,100,1024,25,200,40,0.0973638,311.931,77.3688,19.4274,4.94759
40,20,200,1024,5,200,40,0.0879529,250.306,72.6525,23.0295,4.92854
40,20,200,1024,10,200,40,0.0817892,280.856,72.7545,23.503,4.89469
40,20,200,1024,15,200,40,0.080336,281.92,70.5232,24.392,4.90074
40,20,200,1024,20,200,40,0.103881,240.276,76.9467,19.252,4.98958
40,20,200,1024,25,200,40,0.0853816,268.586,73.7878,21.4336,4.91354
40,20,300,1024,5,200,40,0.0964066,267.797,75.3289,21.4474,4.95988
40,20,300,1024,10,200,40,0.0808875,230.739,71.1864,24.5394,4.90095
40,20,300,1024,15,200,40,0.087344,256.92,72.1369,23.0447,4.92842
40,20,300,1024,20,200,40,0.0887285,287.11,73.5049,23.5049,4.9281
40,20,300,1024,25,200,40,0.0913506,295.976,77.208,19.6581,4.92323
40,20,400,1024,5,200,40,0.0899341,284.207,75.7022,19.5927,4.92744
40,20,400,1024,10,200,40,0.0914409,232.823,75.2535,20.622,4.9346
40,20,400,1024,15,200,40,0.0915445,271.022,73.6628,21.327,4.94271
40,20,400,1024,20,200,40,0.0816838,310.827,72.2104,23.5963,4.90353
40,20,400,1024,25,200,40,0.105609,332.654,78.7654,17.4074,4.98703
40,20,500,1024,5,200,40,0.103007,311.662,77.3668,18.9342,4.97892
40,20,500,1024,10,200,40,0.0798513,326.999,70.6013,23.6823,4.89336
40,20,500,1024,15,200,40,0.0918984,288.782,74.0331,22.5138,4.93712
40,20,500,1024,20,200,40,0.0919388,342.004,75.5401,21.7422,4.93397
40,20,500,1024,25,200,40,0.0977873,283.303,77.1803,18.9508,4.95283
40,30,100,1024,5,200,40,0.109719,280.536,78.6957,17.5776,5.00118
40,30,100,1024,10,200,40,0.0902607,294.941,73.706,22.2222,4.92975
40,30,100,1024,15,200,40,0.0835548,267.641,73.7232,22.2058,4.90018
40,30,100,1024,20,200,40,0.0833628,258.857,74.4355,21.1216,4.90031
40,30,100,1024,25,200,40,0.0973638,311.931,77.3688,19.4274,4.94759
40,30,200,1024,5,200,40,0.0879529,250.306,72.6525,23.0295,4.92854
40,30,200,1024,10,200,40,0.0817892,280.856,72.7545,23.503,4.89469
40,30,200,1024,15,200,40,0.080336,281.92,70.5232,24.392,4.90074
40,30,200,1024,20,200,40,0.103881,240.276,76.9467,19.252,4.98958
40,30,200,1024,25,200,40,0.0853816,268.586,73.7878,21.4336,4.91354
40,30,300,1024,5,200,40,0.0964066,267.797,75.3289,21.4474,4.95988
40,30,300,1024,10,200,40,0.0808875,230.739,71.1864,24.5394,4.90095
